,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,2200.0,2200.0,2200.0,2200.0
BasicMotions,2400.0,2400.0,2400.0,2400.0
CharacterTrajectories,21000.0,21000.0,21000.0,21000.0
Epilepsy,3400.0,3400.0,3400.0,3400.0
JapaneseVowels,8600.0,8600.0,8600.0,8600.0
LSST,3400.0,3400.0,3400.0,3400.0
NATOPS,10000.0,10000.0,10000.0,10000.0
UWaveGestureLibrary,13000.0,13000.0,13000.0,13000.0
