,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,0.0016,0.0016,0.0017,0.0017
BasicMotions,0.0033,0.0033,0.0034,0.0034
CharacterTrajectories,0.0036,0.0036,0.0036,0.0036
Epilepsy,0.0032,0.0032,0.0032,0.0032
JapaneseVowels,0.005,0.005,0.005,0.005
LSST,0.0092,0.0092,0.0092,0.0092
NATOPS,0.0016,0.0016,0.0016,0.0016
UWaveGestureLibrary,0.0015,0.0015,0.0015,0.0015
