,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,0.046,0.046,0.046,0.046
BasicMotions,0.41,0.41,0.41,0.41
CharacterTrajectories,0.046,0.046,0.046,0.046
Epilepsy,0.32,0.32,0.32,0.32
JapaneseVowels,0.068,0.068,0.068,0.068
LSST,0.49,0.49,0.49,0.49
NATOPS,0.11,0.11,0.11,0.11
UWaveGestureLibrary,0.025,0.025,0.025,0.025
