,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,3400.0,58.0,1900.0,28.0
BasicMotions,19000.0,520.0,22000.0,670.0
CharacterTrajectories,700000.0,2300.0,730000.0,690.0
Epilepsy,66000.0,420.0,52000.0,1100.0
JapaneseVowels,79000.0,290.0,68000.0,330.0
LSST,680000.0,8300.0,640000.0,7200.0
NATOPS,150000.0,1100.0,200000.0,530.0
UWaveGestureLibrary,64000.0,110.0,65000.0,130.0
