,QABBA (VQ) partition=1,QABBA (VQ) partition=2,QABBA (VQ) partition=3,QABBA (VQ) partition=4,QABBA (VQ) partition=5,QABBA (VQ) partition=6,QABBA (VQ) partition=7,QABBA (VQ) partition=8,QABBA (GA) partition=1,QABBA (GA) partition=2,QABBA (GA) partition=3,QABBA (GA) partition=4,QABBA (GA) partition=5,QABBA (GA) partition=6,QABBA (GA) partition=7,QABBA (GA) partition=8,ABBA,fABBA
runtime,24.637398719787598,15.498754501342773,11.984097242355347,10.8828444480896,9.926743507385254,9.2932710647583,9.4684579372406,9.518310308456421,19.50776696205139,11.289463758468628,6.914490699768066,5.889298677444458,5.000472068786621,4.508459568023682,3.76733660697937,3.959392547607422,33.672080755233765,19.87166166305542
compression rate,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642,0.99642
symbols,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0,358.0
mse,4.534964138018289,4.284041568975297,7.245762820918118,11.517871219361508,3.5716572292778372,2.345922890800753,3.2913283450549486,3.1058214218126556,26.298639328613252,13.11530655580754,17.957076358105088,11.89370530563829,8.279650662751317,9.318565282572912,7.70574777636829,6.884935150493163,4.271889238309245,7.497356241523238
