,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,0.11,0.11,0.036,0.036
BasicMotions,0.24,0.24,0.075,0.075
CharacterTrajectories,0.055,0.055,0.017,0.017
Epilepsy,0.12,0.12,0.037,0.037
JapaneseVowels,0.085,0.085,0.027,0.027
LSST,0.013,0.013,0.0041,0.0041
NATOPS,0.1,0.1,0.033,0.033
UWaveGestureLibrary,0.066,0.066,0.021,0.021
