,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,750.0,380.0,780.0,310.0
BasicMotions,12000.0,210.0,14000.0,330.0
CharacterTrajectories,500000.0,6400.0,210000.0,5600.0
Epilepsy,160000.0,1300.0,130000.0,920.0
JapaneseVowels,18000.0,1300.0,19000.0,840.0
LSST,940000.0,14000.0,900000.0,12000.0
NATOPS,250000.0,1400.0,290000.0,1100.0
UWaveGestureLibrary,90000.0,2000.0,92000.0,1700.0
