,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,390.0,16.0,480.0,17.0
BasicMotions,12000.0,76.0,13000.0,88.0
CharacterTrajectories,500000.0,260.0,210000.0,440.0
Epilepsy,160000.0,430.0,130000.0,510.0
JapaneseVowels,16000.0,74.0,18000.0,130.0
LSST,940000.0,7700.0,900000.0,8200.0
NATOPS,250000.0,390.0,290000.0,340.0
UWaveGestureLibrary,89000.0,160.0,91000.0,300.0
