,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,3600.0,290.0,2000.0,130.0
BasicMotions,19000.0,620.0,23000.0,1300.0
CharacterTrajectories,710000.0,7200.0,730000.0,3900.0
Epilepsy,66000.0,1000.0,53000.0,2100.0
JapaneseVowels,80000.0,1100.0,69000.0,1000.0
LSST,690000.0,14000.0,640000.0,12000.0
NATOPS,150000.0,2200.0,200000.0,1300.0
UWaveGestureLibrary,65000.0,1200.0,66000.0,1100.0
