,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,0.23,0.23,0.073,0.073
BasicMotions,0.2,0.2,0.064,0.064
CharacterTrajectories,0.052,0.052,0.016,0.016
Epilepsy,0.08,0.08,0.025,0.025
JapaneseVowels,0.13,0.13,0.042,0.042
LSST,0.013,0.013,0.004,0.004
NATOPS,0.095,0.095,0.03,0.03
UWaveGestureLibrary,0.087,0.087,0.027,0.027
