,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,0.02,0.02,0.058,0.058
BasicMotions,0.014,0.043,19.0,19.0
CharacterTrajectories,0.029,0.029,0.088,0.088
Epilepsy,0.016,0.016,0.76,0.76
JapaneseVowels,0.023,0.023,0.026,0.026
LSST,8.7,450.0,94000.0,90000.0
NATOPS,0.021,0.021,0.39,0.39
UWaveGestureLibrary,0.04,0.04,0.059,0.06
