,ABBA,fABBA,QABBA (VQ),QABBA (GA)
AtrialFibrillation,1100.0,1100.0,1100.0,1100.0
BasicMotions,2900.0,2900.0,2900.0,2900.0
CharacterTrajectories,21000.0,21000.0,21000.0,21000.0
Epilepsy,5100.0,5100.0,5100.0,5100.0
JapaneseVowels,5500.0,5500.0,5500.0,5500.0
LSST,3500.0,3500.0,3500.0,3500.0
NATOPS,12000.0,12000.0,12000.0,12000.0
UWaveGestureLibrary,10000.0,10000.0,10000.0,10000.0
